project,unit,type,owner,parent,countries,status_tabular,start_year,capacity,production,units,geom,lat,lng,route,url,status
Port Said - Arish Gas Pipeline,,gas_pipeline,,Egyptian Natural Gas Holding Company [100.00%],Egypt,operating,,,,,line,nan,nan,"31.142732,33.889558:31.136288,33.866196:31.117276,33.800459:31.11272,33.78805:31.10227,33.763576:31.088579,33.723186:31.074203,33.678004:31.064436,33.639899:31.059359,33.61166:31.055602,33.588873:31.053013,33.569142:31.050927,33.541089:31.04984,33.508855:31.048889,33.485692:31.048606,33.478625:31.047026,33.472644:31.044766,33.467155:31.041535,33.459226:31.037325,33.447497:31.032212,33.430053:31.028303,33.410505:31.026197,33.361784:31.026195,33.203536:31.025468,33.184027:31.025225,33.171788:31.023408,33.164638:31.020378,33.159791:31.01844,33.152884:31.019288,33.144402:31.02365,33.138828:31.027652,33.134451:31.03792,33.126236:31.052981,33.114598:31.058307,33.111927:31.06325,33.109806:31.078995,33.107753:31.087268,33.106958:31.096109,33.105014:31.107063,33.099538:31.115962,33.092007:31.121439,33.081054:31.121439,33.070101:31.118774,33.058245:31.114532,33.048188:31.108352,33.039948:31.098658,33.026012:31.089207,33.006867:31.069379,32.969567:31.052575,32.934838:31.040532,32.910752:31.03129,32.890027:31.023448,32.868462:31.017566,32.846336:31.010285,32.817769:31.004376,32.788056:31.001883,32.764836:31.001883,32.74075:31.002163,32.719465:31.004403,32.69874:31.009168,32.657302:31.014486,32.629283:31.023544,32.606643:31.033128,32.592267:31.038605,32.585422:31.042712,32.577891:31.044453,32.574109:31.044766,32.568307:31.045451,32.519702:31.045853,32.512494:31.048654,32.503531:31.054536,32.488408:31.062938,32.472444:31.067699,32.462921:31.069659,32.450878:31.069939,32.432394:31.0705,32.408308:31.074203,32.381418:31.075572,32.373203:31.07968,32.358143:31.081049,32.342397:31.081733,32.334867:31.083102,32.330075:31.086183,32.327648:31.089824,32.326527:31.23234,32.319122:31.244662,32.316383:31.254931,32.308853:31.264515,32.296531:31.273414,32.280101:31.278062,32.263471:31.281228,32.245501:31.283084,32.233429:31.284576,32.225224:31.28724,32.211159:31.287732,32.204267:31.289466,32.199379:31.293952,32.189737:31.298744,32.177415:31.307643,32.163039:31.322019,32.134286:31.330234,32.113065:31.339134,32.094581:31.347349,32.08089:31.354879,32.065144:31.360355,32.045976:31.367886,32.022016:31.373362,31.989841:31.379524,31.957666:31.389108,31.917276:31.398692,31.872779:31.40143,31.84608:31.404168,31.822805:31.406222,31.802267:31.411699,31.759139:31.418544,31.712588",https://www.gem.wiki/Arish%E2%80%93Port_Said_Gas_Pipeline,operating
Qua Iboe Terminal to Obiafu-Obrikom Gas Pipeline,,gas_pipeline,,Nigerian National Petroleum Corporation [100.00%],Nigeria,cancelled,,,,,line,nan,nan,"4.547,8.012:5.3913816,6.6565269",https://www.gem.wiki/Qua_Iboe_Terminal_to_Obiafu-Obrikom_Gas_Pipeline,cancelled
Rhourd Ennous-Hassi R'Mel I Gas Pipeline,,gas_pipeline,,Sonatrach [100.00%],Algeria,operating,2,12,,bcm/y,line,nan,nan,"29.6963,6.7133:29.7476,6.596:30.8708,6.464:31.7917,5.9015:31.8834,5.7715:31.9547,5.2074:32.3079,4.3567:32.9361,3.2516",https://www.gem.wiki/Rhourd_Ennous-Hassi_R'mel_Gas_Pipeline,operating
Rocade East-West Gas Pipeline,,gas_pipeline,,Government of Togo [100.00%],Algeria,operating,2,,,,line,nan,nan,"35.42903,7.152264:35.212171,-0.62502",https://www.gem.wiki/Rocade_East-West_Gas_Pipeline,operating
Rumuji Node-Bonny Gas Pipeline,,gas_pipeline,,Nigerian National Petroleum Corporation [49.00%]; Shell [25.60%]; TotalEnergies Gaz & Electricité​ Holdings [15.00%]; Eni International NA NV SARL [unknown %],Nigeria,operating,,12.91,,bcm/y,line,nan,nan,"4.939819231506705,6.77899363331469:4.413504828059465,7.190551252570926",https://www.gem.wiki/Rumuji_Node-Bonny_gas_pipeline,operating
Rumuji-Bonny Gas Pipeline,,gas_pipeline,,Eni S.p.A. [100.00%],Nigeria,operating,,7.23,,bcm/y,line,nan,nan,"4.939819231506705,6.77899363331469:4.413504828059465,7.190551252570926",https://www.gem.wiki/Rumuji-Bonny_gas_pipeline,operating
Salam-Abu Gharadig Southern Gas Pipeline,,gas_pipeline,,APA Corporation [100.00%],Egypt,operating,,187,,MMcf/d,line,nan,nan,"30.7077,26.98:30.6928,26.9948:30.6232,27.0321:30.4713,27.1819:30.3695,27.3471:30.273,27.366:30.2465,27.3869:30.2141,27.3536:30.1235,27.3981:30.1025,27.442:30.0658,27.511:30.0291,27.5227:30.0147,27.5431:29.9872,27.588:29.9732,27.642:29.9663,27.7548:29.9798,27.8554:29.9767,27.8797:29.9978,28.2122:29.9785,28.3025:29.8626,28.4636:29.8197,28.5452:29.7889,28.5563",https://www.gem.wiki/Salam-Abu_Gharadig_Southern_Gas_Pipeline,operating
Salam–Matruh Terminal Gas Pipeline,,gas_pipeline,,General Petroleum Company [100.00%],Egypt,operating,,22,,MMcf/d,line,nan,nan,"27.000111,28.000111:31.325,27.222222",https://www.gem.wiki/Salam%E2%80%93Matruh_Terminal_Gas_Pipeline,operating
Secunda–Durban Lilly Gas Pipeline,,gas_pipeline,,Transnet [100.00%],South Africa,operating,1995,0.61,,bcm/y,line,nan,nan,"-26.547864,29.172917:-29.890965,31.03086",https://www.gem.wiki/Secunda%E2%80%93Durban_Lilly_Gas_Pipeline,operating
Soku-Bonny Gas Pipeline,,gas_pipeline,,Shell [100.00%],Nigeria,operating,,14.47,,bcm/y,line,nan,nan,"4.654036,6.597662:4.611014,6.621641:4.577551,6.679192:4.51062,6.847047:4.438901,7.043678:4.407821,7.173167",https://www.gem.wiki/Soku-Bonny_gas_pipeline,operating
